conversation_tagging_id	index_en	id	msg	time	chat_id	user_id	word count	Language	Preassigned Topic	Preassigned Subtopic	Topic_L1	Topic_L2	AnswerType	Confirmation	Scenario						
2	21	27757	hi..I'm Iza<NL>Wanted to know is there any contract on my line ?	1465006067	1323	0	12	English	Billing	Billing Details	Wrong	Wrong	ObjectOthers	False	None						
4	64	28041	pls make my credit limit to RM 50 	1465010834	1340	0	7	English	Billing	Increase credit limit	Billing	CreditLimit	Request	False	IncreaseCreditLimit						
6	144	28583	I HAVE PORT OUT FROM RED ONEON 30 / 5 / 16 B 4 THIS I HAVE SIGN UP AUTO DEBIT FORM SO DO I NEED TO CANCEL THE AUTO DEBIT FORM FR YOUR SITE	1465022411	1371	0	30	English	Billing	Waiver	Billing	Termination	Procedure	False	HowTerminate						
9	222	30387	Hello.. may i know where the nearest branch around klang	1465095471	1445	0	10	English	Billing	Make Payment - Dealers	Billing	PaymentChannel	ObjectLocation	False	HowPay						
10	252	30541	"Poon.<NL>Oh, can I transfer that amount to my other RedOne number?<NL>Account: 200622098 <NL>Caller: 0168080208 "	1465097483	1449	0	13	English	Billing	Deposit Refund	Billing	Refund	Request	False	HowRefundDeposit						
10	265	30588	"What should I put under ""Reason For Fund""?"	1465098317	1449	0	8	English	Billing	Deposit Refund	Billing	Refund	ObjectOthers	False	HowRefundDeposit						
10	268	30597	2. Can you help me change the email address for my accounts? I can't find the option on the website.<NL>I want to change from jk_kam@yahoo.com to jyjk@outlook.com	1465098437	1449	0	27	English	Billing	Deposit Refund	Billing	Refund	Request	False	HowRefundDeposit						
14	362	32775	"hello... i want to know, my package include internet or without internet... tq..."	1465174768	1546	0	13	English	Billing	Billing Details	Wrong	Wrong	ObjectDefinition	False	None						
16	402	32781	"hello, my address shown on my bill is incorrect, has been inform at the centre, but no changes till now"	1465174867	1549	0	20	English	Billing	Change of Billing Details	Billing	Document	Request	False	ChangeDetails						
24	607	33302	could you help me to check my customer number do activated the IDD call or not?	1465179569	1577	0	16	English	Billing	Billing Details	Wrong	Wrong	ObjectDefinition	False	None						
26	630	33489	I need incoming tracking	1465181742	1589	0	4	English	Billing	Billing Details	Wrong	Wrong	Request	False	None						
39	1033	37446	Can I cancel the the internet plan?	1465268493	1759	0	7	English	Billing	Unsuspend lines - (Within 50 days)	Wrong	Wrong	Request	False	None						
56	1374	47837	If add internet data how much pay extra	1465537203	2183	0	8	English	Billing	Payment Status	Wrong	Wrong	ObjectNumeric	False	None						
66	1603	51391	I can't make out going call	1465706734	2336	0	6	English	Billing	Un-bar lines - Increase CL from RM50 to RM100	Billing	Barring	Reason	False	LineStatus						
66	1618	51413	and please change my data option from PPU fixed data usage 500 MB	1465707164	2336	0	12	English	Billing	Un-bar lines - Increase CL from RM50 to RM100	Wrong	Wrong	Request	False	None						
66	1629	51443	ok please proceed to make change to 1 GB	1465707671	2336	0	8	English	Billing	Un-bar lines - Increase CL from RM50 to RM100	Wrong	Wrong	Request	False	None						
