conversation_tagging_id	index_en	id	msg	time	chat_id	user_id	word count	Language	Preassigned Topic	Preassigned Subtopic	Topic_L1	Topic_L2	AnswerType	Confirmation	Scenario
1	1	27664	I already pay for april bill, how come it still bring forward to May?	1465004875	1317	0	14	English	Billing	Billing Details	Billing	BillOutstanding	Reason	False	WhyBillAmount
1	11	27698	Let me make it clear, i start using redone on april. My first cycle bill will count as May right? I already pay it through your website 24.49. BUT, it bring forward to my June bill	1465005214	1317	0	36	English	Billing	Billing Details	Billing	BillOutstanding	Reason	False	WhyBillAmount
18	431	33028	Hi, I just port out from redone. i saw my total current utilisation for July 2016 bill. the amount is RM 20.22. when is i required to pay this?	1465176926	1563	0	29	English	Billing	Billing Details	Billing	PaymentCycle	ObjectTime	False	WhenPaymentLastDay
22	535	33142	Why my bill is RM 214.12 ?	1465178318	1570	0	6	English	Billing	Billing Details	Billing	BillOutstanding	Reason	False	WhyBillAmount
22	537	33152	Balance brought forward refer for which month?	1465178492	1570	0	7	English	Billing	Billing Details	Billing	BillBreakdown	ObjectTime	False	ItemDefinition
22	544	33211	My concern is my bill for every month will start early of the month even the details not finalized yett.	1465178901	1570	0	20	English	Billing	Billing Details	Billing	BillOutstanding	Reason	False	WhyBillAmount
43	1100	38006	Hi, I have problem with my June 2016 bill. I have calculated but I have no idea where the amount of bill come from.	1465274243	1783	0	24	English	Billing	Billing Details	Billing	BillOutstanding	Reason	False	WhyBillAmount
44	1127	38062	as i mentioned earlier i view my ac bill 201672458 for june the amount is RM 12.82 and there also got July amount RM 15.23 how come there is July bill as now is still in the month of June? Actually how much I need to pay?	1465274661	1784	0	45	English	Billing	Billing Details	Billing	BillOutstanding	Reason	False	BillAmount
54	1314	44980	may i know why this month my bill so expensive?	1465450263	2074	0	10	English	Billing	Billing Details	Billing	BillOutstanding	Reason	True	WhyBillAmount
54	1327	45159	ya... 01110752172 but can i know this number how much?	1465452667	2074	0	9	English	Billing	Billing Details	Billing	BillOutstanding	ObjectNumeric	True	BillAmount
57	1384	47824	I would want to check the bill for the other number	1465537151	2184	0	11	English	Billing	Product Charges	Billing	BillOutstanding	ObjectNumeric	False	BillAmount
58	1412	47942	i need to check on march 2016 how much i pay the payment?	1465538407	2188	0	13	English	Billing	Payment Status	Billing	BillOutstanding	ObjectNumeric	False	BillAmount
58	1417	47957	Please help me check Feb 2016 Tq	1465538639	2188	0	7	English	Billing	Payment Status	Billing	BillOutstanding	ObjectNumeric	False	BillAmount
61	1457	48517	total outstanding bill	1465544242	2216	0	3	English	Billing	Billing Details	Billing	BillOutstanding	ObjectNumeric	False	BillAmount
69	1695	52133	200322948 how to check all my bill??	1465773614	2375	0	7	English	Billing	Billing Details	Billing	Document	Procedure	False	HowViewBill
74	1808	53693	HAI, HOW TO GET THE PREVIOUS BIL. JAN - APR	1465798317	2437	0	10	English	Billing	Billing Address	Billing	Document	Procedure	False	HowViewBill
76	1870	54048	hi , I would like to check is there any outstanding for my account	1465802810	2451	0	14	English	Billing	Payment Status	Billing	BillOutstanding	ObjectNumeric	False	BillAmount
82	2032	54576	OK NOTED, BESIDE THAT IS THERE ANY OUTSTANDING AMT	1465810688	2472	0	9	English	Billing	Waiver	Billing	BillOutstanding	ObjectNumeric	True	BillAmount
82	2034	54580	FOR WHAT MONTH YA? WHY I STILL GOT OUTSTANDING CO'S I HAVE MAKE FULL PAYMENT AT COUTER ON 30 / 5 / 2016 	1465810845	2472	0	19	English	Billing	Waiver	Billing	BillOutstanding	Reason	False	WhyBillAmount
83	2063	54685	the problem is I dont know how much to be pay	1465811924	2476	0	11	English	Billing	Payment Status	Billing	BillOutstanding	ObjectNumeric	False	BillAmount
83	2065	54693	can you double confirm with me the amount due for the 0124291359 	1465811980	2476	0	12	English	Billing	Payment Status	Billing	BillOutstanding	ObjectNumeric	True	BillAmount
83	2067	54695	and what is the unbill amount?	1465811999	2476	0	6	English	Billing	Payment Status	Billing	BillOutstanding	ObjectNumeric	False	BillAmount
85	2133	55072	pls check my acc, 201102654 <NL>i want pay payment	1465818758	2495	0	7	English	Billing	Unsuspend lines - (Within 50 days)	Billing	BillOutstanding	Request	False	BillAmount
85	2140	55080	my totl balance is 266.12 right?	1465818848	2495	0	6	English	Billing	Unsuspend lines - (Within 50 days)	Billing	BillOutstanding	ObjectNumeric	True	BillAmount
94	2355	57901	whats the amount to pay	1465952752	2646	0	5	English	Billing	Un-bar lines - Overdue Payment	Billing	BillOutstanding	ObjectNumeric	False	BillAmount
94	2367	57947	what is the outstanding for this number?	1465953074	2646	0	7	English	Billing	Un-bar lines - Overdue Payment	Billing	BillOutstanding	ObjectNumeric	False	BillAmount
