conversation_tagging_id	index_en	id	msg	time	chat_id	user_id	word count	Language	Preassigned Topic	Preassigned Subtopic	Topic_L1	Topic_L2	AnswerType	Confirmation	Scenario
1821	45642	409620	hi<NL>I already pay the bill why my phone dont have line?	1478056541	17532	0	11	English	Billing	Unsuspend lines - (Within 50 days)	Billing	Barring	Reason	False	WhyStillBar
1821	45658	409669	can i ask why my line will be suspend	1478056892	17532	0	9	English	Billing	Unsuspend lines - (Within 50 days)	Billing	Barring	Reason	True	WhyBar
1821	45659	409675	why need to charge Rm 10 ?	1478056921	17532	0	5	English	Billing	Unsuspend lines - (Within 50 days)	Billing	None	Reason	False	
1821	45661	409686	why my line will be suspend?	1478056994	17532	0	6	English	Billing	Unsuspend lines - (Within 50 days)	Billing	Barring	Reason	False	WhyBar
1821	45665	409757	after the payment will unsuspend the line for free, why need charge for 10 ?	1478057338	17532	0	14	English	Billing	Unsuspend lines - (Within 50 days)	Billing	Barring	Reason	False	CheckUnbarAmount
1821	45669	409782	how long is the period will be barred if didnt make the payment	1478057548	17532	0	13	English	Billing	Unsuspend lines - (Within 50 days)	Billing	Barring	ObjectTime	False	TimeToBarring
1821	45676	409895	unsuspend my line	1478058279	17532	0	3	English	Billing	Unsuspend lines - (Within 50 days)	Billing	Barring	Request	False	RequestUnbar
1830	45938	411374	hi.. i have paid my bill but my line still suspended	1478069329	17607	0	11	English	Billing	Unsuspend lines - (Within 50 days)	Billing	Barring	None	False	WhyStillBar
1830	45947	411422	what about my line suspension??	1478069503	17607	0	5	English	Billing	Unsuspend lines - (Within 50 days)	Billing	Barring	ObjectName	False	LineStatus
1839	46187	412105	I ALREADY MAKE A FULL PAYMENT BUT MY NUMBER STILL CAN'T USE	1478074909	17631	0	12	English	Billing	Unsuspend lines - (Within 50 days)	Billing	Barring	Reason	False	WhyStillBar
1843	46286	412937	WHY UR COMPANY BAR MY LINE?	1478084493	17662	0	6	English	Billing	Un-bar lines - Overdue Payment	Billing	Barring	Reason	False	WhyBar
1849	46552	413563	If my line is currently bare and full payment was made, how long it will be reinstate?	1478129648	17686	0	17	English	Billing	Unsuspend lines - (Within 50 days)	Billing	Barring	ObjectTime	False	CheckUnbarTime
1872	47059	415437	so the line is till open?	1478148703	17771	0	6	English	Billing	Unsuspend lines - (Within 50 days)	Billing	Barring	None	True	LineStatus
1872	47060	415439	i saw the status is suspended	1478148721	17771	0	6	English	Billing	Unsuspend lines - (Within 50 days)	Billing	Barring	None	False	LineStatus
1888	47546	417935	Hi there, Can you please kindly help me to check the status of 01110510907 as I am oversea for few months and forget to pay the bill. Just paid it recently and found that seem like the line been cut off	1478217720	17888	0	41	English	Billing	Unsuspend lines - (Within 50 days)	Billing	Barring	ObjectName	False	LineStatus
1907	47894	419045	hi good morning<NL>my line has been suspended but ive already paid my bill and hit has yet to be unsuspended.... so how to go about it?	1478232095	17946	0	26	English	Billing	Unsuspend lines - (Within 50 days)	Billing	Barring	Procedure	False	HowUnbar
1907	47907	419148	and when will my line be unsuspended	1478232978	17946	0	7	English	Billing	Unsuspend lines - (Within 50 days)	Billing	Barring	ObjectTime	False	CheckUnbarTime
1920	48236	420547	Why my no. 01155066256 is barred whereas i pay my bills.?	1478250989	18019	0	11	English	Billing	Make Payment - Selfcare	Billing	Barring	Reason	False	WhyStillBar
1921	48245	420580	my no 01155066256 is barred please check for me.what is wrong?	1478251442	18021	0	11	English	Billing	Unsuspend lines - (Within 50 days)	Billing	Barring	Reason	False	LineStatus
1941	48724	423517	My number has been barred. This morning i've made a paymet for the oustanding bills via credit card. How long i can get back my number? Pls advice. Tq	1478395400	18152	0	29	English	Billing	Unsuspend lines - (Within 50 days)	Billing	Barring	ObjectTime	False	CheckUnbarTime
1947	48825	424714	HI... y my number still cannot use	1478481127	18214	0	7	English	Billing	Unsuspend lines - (Within 50 days)	Billing	Barring	Reason	False	WhyStillBar
